208
0 71 142
1 73 32
2 47 35
3 25 71
4 41 23
5 34 35
6 33 41
7 15 71
8 62 123
9 34 29
10 68 101
11 63 101
12 114 110
13 45 101
14 41 74
15 71 127
16 119 90
17 12 28
18 59 35
19 92 120
20 62 44
21 62 97
22 44 97
23 33 25
24 46 62
25 62 35
26 93 116
27 71 135
28 78 70
29 71 100
30 132 58
31 62 75
32 70 94
33 93 110
34 56 32
35 54 32
36 68 75
37 109 128
38 74 127
39 30 97
40 34 41
41 7 97
42 114 88
43 62 98
44 68 81
45 71 77
46 32 71
47 120 110
48 32 74
49 63 98
50 78 52
51 72 15
52 45 107
53 74 101
54 18 15
55 58 32
56 34 42
57 62 42
58 62 127
59 43 91
60 13 41
61 70 81
62 62 114
63 68 97
64 32 55
65 107 80
66 61 81
67 78 49
68 101 95
69 74 107
70 121 80
71 30 85
72 11 71
73 119 86
74 76 101
75 101 110
76 41 80
77 109 134
78 27 71
79 62 101
80 43 85
81 34 47
82 12 41
83 62 39
84 58 15
85 95 134
86 71 96
87 62 79
88 32 52
89 70 97
90 93 128
91 62 81
92 33 38
93 25 65
94 106 58
95 7 93
96 89 105
97 120 127
98 71 73
99 10 63
100 107 68
101 71 15
102 62 117
103 54 24
104 15 99
105 95 133
106 54 15
107 101 88
108 97 134
109 78 105
110 80 70
111 34 38
112 92 60
113 92 105
114 71 89
115 78 64
116 96 95
117 47 101
118 63 75
119 68 73
120 30 99
121 92 54
122 46 70
123 12 37
124 102 66
125 68 98
126 15 101
127 61 80
128 32 59
129 72 13
130 121 68
131 89 120
132 109 133
133 31 59
134 33 28
135 102 58
136 43 89
137 47 58
138 95 129
139 78 60
140 96 89
141 76 107
142 9 63
143 15 68
144 128 104
145 120 128
146 128 86
147 34 28
148 15 98
149 71 129
150 95 132
151 9 67
152 119 104
153 47 97
154 96 70
155 15 93
156 74 110
157 30 80
158 72 7
159 48 58
160 53 107
161 132 66
162 89 52
163 41 19
164 128 98
165 62 109
166 44 85
167 59 32
168 26 15
169 60 101
170 43 94
171 71 88
172 43 99
173 26 41
174 33 15
175 62 49
176 12 63
177 96 80
178 107 88
179 93 111
180 41 25
181 101 105
182 81 105
183 71 7
184 71 82
185 46 58
186 20 41
187 82 70
188 68 99
189 69 32
190 48 70
191 12 15
192 32 47
193 62 142
194 73 15
195 78 100
196 61 73
197 63 73
198 58 35
199 15 63
200 25 68
201 62 107
202 7 101
203 33 19
204 25 59
205 92 52
206 95 128
207 9 71
4 193 27 85 77 
4 67 25 189 51 
4 198 40 180 35 
3 78 155 200 
2 180 163 
2 111 9 
3 81 173 92 
3 155 72 143 
2 58 102 
2 5 147 
2 53 11 
2 10 79 
3 37 75 152 
2 117 126 
3 76 48 122 
3 38 149 165 
2 152 73 
2 123 191 
2 25 198 
3 90 131 26 
3 175 196 57 
4 43 153 66 91 
3 153 172 166 
3 147 134 203 
2 122 185 
3 83 18 1 
3 206 19 179 
2 0 149 
3 110 98 115 
2 53 188 
3 161 94 158 
2 87 175 
2 89 61 
3 75 179 156 
2 55 35 
3 34 2 103 
3 61 44 119 
3 132 206 12 
3 90 15 131 
2 120 71 
3 56 111 2 
2 202 95 
3 68 178 73 
3 49 169 21 
2 63 36 
2 184 98 
2 48 128 
3 97 152 146 
3 14 157 46 
3 188 43 118 
2 139 67 
3 1 101 129 
3 160 102 202 
3 74 10 29 
2 168 191 
2 167 34 
2 81 40 
2 20 83 
2 193 8 
2 170 136 
2 186 82 
3 32 36 98 
2 102 165 
2 125 44 
2 128 88 
2 178 100 
3 21 166 127 
3 162 50 1 
4 181 116 107 42 
2 141 201 
3 146 73 130 
2 39 157 
2 7 207 
3 16 42 70 
4 109 53 86 195 
3 12 33 181 
3 80 120 14 
4 0 108 132 145 
3 157 3 133 
2 11 169 
3 166 136 76 
4 185 192 6 56 
3 60 176 123 
3 57 159 25 
2 101 106 
3 108 0 105 
3 74 89 114 
2 91 31 
4 64 133 204 192 
3 188 32 86 
3 105 38 19 
2 21 87 
2 6 134 
2 200 204 
2 30 135 
4 41 191 142 207 
2 113 182 
2 145 47 
4 45 61 119 28 
2 176 142 
3 130 65 124 
2 51 84 
3 8 52 62 
3 35 163 106 
2 126 148 
3 85 90 150 
3 84 103 174 
3 178 68 154 
2 77 85 
3 182 141 74 
2 187 28 
2 40 5 
3 154 187 121 
2 181 96 
2 86 171 
2 28 139 
3 68 195 140 
3 169 13 172 
2 49 197 
3 98 36 197 
4 172 126 39 76 
3 112 162 205 
3 190 14 24 
2 82 17 
3 100 154 135 
2 188 63 
4 13 202 104 120 
2 66 196 
2 46 64 
3 194 51 183 
3 70 100 161 
3 19 38 156 
2 77 37 
3 157 78 88 
2 92 23 
3 94 124 205 
2 59 80 
2 159 185 
2 150 206 
2 115 50 
2 116 177 
3 156 69 109 
4 99 151 95 191 
2 7 199 
3 145 164 161 
3 77 97 144 
4 164 47 70 161 
3 9 23 180 
2 104 155 
2 27 15 
2 105 138 
2 207 142 
3 47 12 16 
2 21 22 
4 107 177 112 124 
3 148 7 3 
4 33 131 165 141 
4 71 78 133 48 
2 30 183 
3 190 137 83 
3 201 165 52 
4 144 146 130 30 
3 121 67 194 
3 103 4 174 
2 144 146 
4 156 15 62 160 
3 22 80 66 
2 189 55 
2 174 54 
3 79 117 43 
2 172 59 
2 114 184 
4 117 120 170 22 
2 6 186 
4 106 163 203 168 
3 197 31 20 
3 199 99 82 
2 140 154 
3 42 107 65 
2 26 33 
3 2 147 4 
3 75 113 68 
2 96 109 
3 158 129 191 
2 171 45 
3 137 24 81 
3 173 192 60 
3 195 110 112 
4 29 49 125 89 
2 1 167 
3 196 122 159 
5 54 17 142 95 183 
3 81 88 186 
3 0 202 58 
3 205 162 129 
3 74 187 116 
3 127 190 20 
3 119 118 175 
2 18 2 
3 143 176 204 
2 3 93 
2 69 160 
4 126 52 193 41 
2 23 174 
3 93 199 88 
3 135 121 194 
3 37 138 26 
3 72 95 151 
